Algorithm.Type,String.Length,Duration,Fractional.Period,Run
naive,1000,1656100,1000,1
smart,1000,63275,1000,1
naive,1064,664000,1064,1
smart,1064,65375,1064,1
naive,1133,959400,1133,1
smart,1133,75000,1133,1
naive,1207,928200,1207,1
smart,1207,80766,1207,1
naive,1285,781401,1284,1
smart,1285,81700,1284,1
naive,1368,805501,1368,1
smart,1368,81366,1368,1
naive,1457,894800,1455,1
smart,1457,91666,1455,1
naive,1551,2718700,1550,1
smart,1551,89466,1550,1
naive,1652,765000,1652,1
smart,1652,100250,1652,1
naive,1759,600300,1758,1
smart,1759,105750,1758,1
naive,1873,588400,1873,1
smart,1873,114900,1873,1
naive,1994,746400,1991,1
smart,1994,128550,1991,1
naive,2123,1961800,2123,1
smart,2123,323100,2123,1
naive,2261,2453400,2261,1
smart,2261,64525,2261,1
naive,2408,902400,2408,1
smart,2408,69333,2408,1
naive,2564,1033199,2564,1
smart,2564,77499,2564,1
naive,2730,1764900,2730,1
smart,2730,90199,2730,1
naive,2907,4463300,2905,1
smart,2907,164050,2905,1
naive,3095,4138400,3095,1
smart,3095,19409,3095,1
naive,3295,5810400,3295,1
smart,3295,20491,3295,1
naive,3509,1787700,3507,1
smart,3509,17724,3507,1
naive,3736,2140500,3736,1
smart,3736,21500,3736,1
naive,3978,3000600,3975,1
smart,3978,31885,3975,1
naive,4236,3751500,4233,1
smart,4236,25050,4233,1
naive,4511,4012700,4511,1
smart,4511,27525,4511,1
naive,4803,6419101,4803,1
smart,4803,28757,4803,1
naive,5114,10644300,5113,1
smart,5114,37083,5113,1
naive,5446,4405000,5445,1
smart,5446,32700,5445,1
naive,5798,7346299,5798,1
smart,5798,38083,5798,1
naive,6174,5568400,6174,1
smart,6174,35933,6174,1
naive,6574,8062601,6573,1
smart,6574,43480,6573,1
naive,7000,10380499,6999,1
smart,7000,41660,6999,1
naive,7454,10336900,7453,1
smart,7454,78800,7453,1
naive,7937,26937700,7936,1
smart,7937,62249,7936,1
naive,8451,13661101,8451,1
smart,8451,55200,8451,1
naive,8998,14431601,8997,1
smart,8998,63475,8997,1
naive,9581,14994799,9580,1
smart,9581,46379,9580,1
naive,10202,16866100,10202,1
smart,10202,52274,10202,1
naive,10863,37031700,10863,1
smart,10863,74800,10863,1
naive,11567,24056299,11567,1
smart,11567,68866,11567,1
naive,12316,26517900,12316,1
smart,12316,83000,12316,1
naive,13114,29200001,13113,1
smart,13114,87233,13113,1
naive,13964,34573300,13963,1
smart,13964,86733,13963,1
naive,14868,37228000,14868,1
smart,14868,79666,14868,1
naive,15832,42098701,15831,1
smart,15832,105400,15831,1
naive,16857,46538099,16855,1
smart,16857,111900,16855,1
naive,17950,51660101,17947,1
smart,17950,88633,17947,1
naive,19113,59887899,19113,1
smart,19113,123300,19113,1
naive,20351,69354500,20351,1
smart,20351,104149,20351,1
naive,21669,73638600,21669,1
smart,21669,126550,21669,1
naive,23073,83729700,23073,1
smart,23073,133450,23073,1
naive,24568,94806000,24567,1
smart,24568,153850,24567,1
naive,26160,107183200,26160,1
smart,26160,165900,26160,1
naive,27854,118715799,27854,1
smart,27854,167100,27854,1
naive,29659,150780900,29658,1
smart,29659,205600,29658,1
naive,31581,151841001,31580,1
smart,31581,184400,31580,1
naive,33627,166826001,33627,1
smart,33627,243600,33627,1
naive,35805,220749100,35805,1
smart,35805,219200,35805,1
naive,38125,212465000,38124,1
smart,38125,258301,38124,1
naive,40595,248371999,40594,1
smart,40595,292400,40594,1
naive,43225,276866900,43225,1
smart,43225,299300,43225,1
naive,46025,313316901,46025,1
smart,46025,301001,46025,1
naive,49007,405671001,49006,1
smart,49007,273600,49006,1
naive,52182,433984801,52182,1
smart,52182,367700,52182,1
naive,55563,580901001,55563,1
smart,55563,344399,55563,1
naive,59163,593681801,59162,1
smart,59163,382900,59162,1
naive,62996,662256299,62996,1
smart,62996,435600,62996,1
naive,67077,672461500,67075,1
smart,67077,421900,67075,1
naive,71422,763761800,71422,1
smart,71422,516900,71422,1
naive,76050,868525200,76048,1
smart,76050,435600,76048,1
naive,80977,974408000,80977,1
smart,80977,440800,80977,1
naive,86223,1085326200,86223,1
smart,86223,528100,86223,1
naive,91809,1236053800,91809,1
smart,91809,599400,91809,1
naive,97757,1440535700,97756,1
smart,97757,630300,97756,1
naive,104090,1584478200,104090,1
smart,104090,648500,104090,1
naive,110834,2107339400,110833,1
smart,110834,736100,110833,1
naive,118014,2104366200,118014,1
smart,118014,736700,118014,1
naive,125660,2432752400,125660,1
smart,125660,641900,125660,1
naive,133801,3187036600,133801,1
smart,133801,1088700,133801,1
naive,142470,3292786400,142470,1
smart,142470,813200,142470,1
naive,151700,3423341900,151700,1
smart,151700,1056300,151700,1
naive,161528,3860051300,161528,1
smart,161528,974000,161528,1
naive,171992,4680541000,171992,1
smart,171992,1145900,171992,1
naive,183135,4998501300,183135,1
smart,183135,995100,183135,1
naive,195000,5629511000,194999,1
smart,195000,1276800,194999,1
naive,207633,6353416200,207633,1
smart,207633,1194000,207633,1
naive,221085,7167021800,221085,1
smart,221085,1642200,221085,1
naive,235408,8149537900,235407,1
smart,235408,1493000,235407,1
naive,250659,9210072800,250657,1
smart,250659,1813100,250657,1
naive,266898,10471367900,266897,1
smart,266898,1600100,266897,1
naive,284190,11868521099,284190,1
smart,284190,1884001,284190,1
naive,302601,13401830000,302601,1
smart,302601,2308200,302601,1
naive,322206,15198876500,322203,1
smart,322206,2238000,322203,1
naive,343080,17700889700,343079,1
smart,343080,2217800,343079,1
naive,365307,19583301100,365307,1
smart,365307,2329200,365307,1
naive,388974,23430792500,388974,1
smart,388974,2539900,388974,1
naive,414174,27669674200,414174,1
smart,414174,2904200,414174,1
naive,441006,28437216000,441006,1
smart,441006,2921400,441006,1
naive,469577,32225568999,469577,1
smart,469577,2981100,469577,1
naive,500000,36483714801,499999,1
smart,500000,3269500,499999,1
naive,1000,247300,1000,2
smart,1000,4193,1000,2
naive,1064,183650,1063,2
smart,1064,3925,1063,2
naive,1133,218400,1131,2
smart,1133,4552,1131,2
naive,1207,407500,1205,2
smart,1207,4690,1205,2
naive,1285,404600,1285,2
smart,1285,7516,1285,2
naive,1368,529600,1368,2
smart,1368,5791,1368,2
naive,1457,393200,1457,2
smart,1457,5328,1457,2
naive,1551,553800,1550,2
smart,1551,6133,1550,2
naive,1652,431800,1651,2
smart,1652,6726,1651,2
naive,1759,460100,1757,2
smart,1759,6903,1757,2
naive,1873,700900,1873,2
smart,1873,8388,1873,2
naive,1994,589300,1994,2
smart,1994,9728,1994,2
naive,2123,1236400,2121,2
smart,2123,12064,2121,2
naive,2261,812200,2261,2
smart,2261,12633,2261,2
naive,2408,1155600,2408,2
smart,2408,11210,2408,2
naive,2564,1030100,2564,2
smart,2564,10015,2564,2
naive,2730,1060200,2730,2
smart,2730,13360,2730,2
naive,2907,1936100,2907,2
smart,2907,13720,2907,2
naive,3095,1562000,3094,2
smart,3095,14628,3094,2
naive,3295,1668400,3295,2
smart,3295,20800,3295,2
naive,3509,1782200,3509,2
smart,3509,17816,3509,2
naive,3736,2815800,3736,2
smart,3736,27312,3736,2
naive,3978,3190900,3977,2
smart,3978,21680,3977,2
naive,4236,2625200,4236,2
smart,4236,25450,4236,2
naive,4511,4099000,4511,2
smart,4511,22788,4511,2
naive,4803,3356600,4802,2
smart,4803,27900,4802,2
naive,5114,5072700,5112,2
smart,5114,35233,5112,2
naive,5446,4581400,5445,2
smart,5446,40260,5445,2
naive,5798,7629500,5797,2
smart,5798,36250,5797,2
naive,6174,6182500,6174,2
smart,6174,33500,6174,2
naive,6574,6759100,6574,2
smart,6574,42420,6574,2
naive,7000,8436600,7000,2
smart,7000,45280,7000,2
naive,7454,10089200,7454,2
smart,7454,43120,7454,2
naive,7937,12007800,7937,2
smart,7937,78833,7937,2
naive,8451,12212300,8450,2
smart,8451,55650,8450,2
naive,8998,13545500,8998,2
smart,8998,47040,8998,2
naive,9581,15361800,9581,2
smart,9581,64600,9581,2
naive,10202,17436900,10201,2
smart,10202,62925,10201,2
naive,10863,19397600,10862,2
smart,10863,62700,10862,2
naive,11567,21010900,11565,2
smart,11567,80666,11565,2
naive,12316,25541500,12314,2
smart,12316,69500,12314,2
naive,13114,28145300,13112,2
smart,13114,84000,13112,2
naive,13964,33144200,13962,2
smart,13964,92033,13962,2
naive,14868,38590100,14868,2
smart,14868,91500,14868,2
naive,15832,39932700,15831,2
smart,15832,109650,15831,2
naive,16857,45249700,16857,2
smart,16857,87433,16857,2
naive,17950,52159200,17948,2
smart,17950,99733,17948,2
naive,19113,55778000,19112,2
smart,19113,137150,19112,2
naive,20351,65229100,20351,2
smart,20351,111450,20351,2
naive,21669,75764500,21668,2
smart,21669,143450,21668,2
naive,23073,84645700,23073,2
smart,23073,153550,23073,2
naive,24568,89295400,24566,2
smart,24568,174050,24566,2
naive,26160,102489400,26159,2
smart,26160,151150,26159,2
naive,27854,120599700,27854,2
smart,27854,155150,27854,2
naive,29659,130865300,29658,2
smart,29659,212900,29658,2
naive,31581,146668100,31580,2
smart,31581,225000,31580,2
naive,33627,190652100,33625,2
smart,33627,206100,33625,2
naive,35805,188946100,35805,2
smart,35805,289500,35805,2
naive,38125,212241100,38125,2
smart,38125,298400,38125,2
naive,40595,245076700,40595,2
smart,40595,288000,40595,2
naive,43225,274426100,43223,2
smart,43225,310200,43223,2
naive,46025,309374800,46023,2
smart,46025,364800,46023,2
naive,49007,351168900,49007,2
smart,49007,316900,49007,2
naive,52182,396595900,52182,2
smart,52182,395100,52182,2
naive,55563,453546300,55562,2
smart,55563,583000,55562,2
naive,59163,509286600,59161,2
smart,59163,372000,59161,2
naive,62996,597773300,62993,2
smart,62996,441800,62993,2
naive,67077,659812500,67077,2
smart,67077,444300,67077,2
naive,71422,744092700,71422,2
smart,71422,505200,71422,2
naive,76050,861246500,76050,2
smart,76050,582900,76050,2
naive,80977,959311800,80976,2
smart,80977,490700,80976,2
naive,86223,1121111100,86223,2
smart,86223,714700,86223,2
naive,91809,1265744200,91809,2
smart,91809,621700,91809,2
naive,97757,1399754200,97755,2
smart,97757,799500,97755,2
naive,104090,1581234200,104090,2
smart,104090,653800,104090,2
naive,110834,1830398200,110833,2
smart,110834,668200,110833,2
naive,118014,2078340800,118014,2
smart,118014,898800,118014,2
naive,125660,2358991600,125660,2
smart,125660,723000,125660,2
naive,133801,2641489500,133801,2
smart,133801,1249400,133801,2
naive,142470,2988500400,142467,2
smart,142470,1124100,142467,2
naive,151700,3365713100,151700,2
smart,151700,1122500,151700,2
naive,161528,3839769500,161524,2
smart,161528,1232000,161524,2
naive,171992,4337980800,171990,2
smart,171992,1217500,171990,2
naive,183135,5428618700,183135,2
smart,183135,1109400,183135,2
naive,195000,6066204100,195000,2
smart,195000,1531700,195000,2
naive,207633,6823933800,207633,2
smart,207633,1212400,207633,2
naive,221085,7566814500,221084,2
smart,221085,1288700,221084,2
naive,235408,8046664100,235408,2
smart,235408,1603300,235408,2
naive,250659,9195758300,250656,2
smart,250659,1643800,250656,2
naive,266898,11101994600,266897,2
smart,266898,1842700,266897,2
naive,284190,11728221400,284189,2
smart,284190,1903500,284189,2
naive,302601,14032702500,302601,2
smart,302601,2364800,302601,2
naive,322206,15769347900,322205,2
smart,322206,1878100,322205,2
naive,343080,17148221300,343080,2
smart,343080,1770200,343080,2
naive,365307,19345769600,365307,2
smart,365307,2355900,365307,2
naive,388974,22132356100,388972,2
smart,388974,2371600,388972,2
naive,414174,25109008900,414173,2
smart,414174,2999300,414173,2
naive,441006,28398477100,441006,2
smart,441006,2859600,441006,2
naive,469577,32654353700,469577,2
smart,469577,3293000,469577,2
naive,500000,36592126500,499996,2
smart,500000,2792800,499996,2
naive,1000,162900,1000,3
smart,1000,2493,1000,3
naive,1064,192000,1061,3
smart,1064,2483,1061,3
naive,1133,189950,1132,3
smart,1133,5923,1132,3
naive,1207,217900,1207,3
smart,1207,2964,1207,3
naive,1285,399400,1284,3
smart,1285,7013,1284,3
naive,1368,321400,1367,3
smart,1368,3621,1367,3
naive,1457,484100,1454,3
smart,1457,4087,1454,3
naive,1551,712200,1551,3
smart,1551,10552,1551,3
naive,1652,584300,1650,3
smart,1652,6315,1650,3
naive,1759,433500,1759,3
smart,1759,4531,1759,3
naive,1873,493400,1871,3
smart,1873,5483,1871,3
naive,1994,603200,1993,3
smart,1994,6029,1993,3
naive,2123,640400,2123,3
smart,2123,7160,2123,3
naive,2261,737500,2259,3
smart,2261,7876,2259,3
naive,2408,1832800,2407,3
smart,2408,22855,2407,3
naive,2564,1169900,2564,3
smart,2564,8800,2564,3
naive,2730,1177600,2730,3
smart,2730,14857,2730,3
naive,2907,1211700,2905,3
smart,2907,13486,2905,3
naive,3095,1374900,3095,3
smart,3095,74133,3095,3
naive,3295,2331000,3295,3
smart,3295,13620,3295,3
naive,3509,2013900,3507,3
smart,3509,18427,3507,3
naive,3736,2044300,3736,3
smart,3736,17850,3736,3
naive,3978,3758700,3977,3
smart,3978,17133,3977,3
naive,4236,3025800,4235,3
smart,4236,24277,4235,3
naive,4511,3201600,4510,3
smart,4511,35566,4510,3
naive,4803,4675800,4803,3
smart,4803,30414,4803,3
naive,5114,3838500,5113,3
smart,5114,29114,5113,3
naive,5446,5406700,5446,3
smart,5446,29071,5446,3
naive,5798,6981000,5796,3
smart,5798,42600,5796,3
naive,6174,5518300,6174,3
smart,6174,38283,6174,3
naive,6574,8180800,6574,3
smart,6574,40960,6574,3
naive,7000,9406300,6999,3
smart,7000,38666,6999,3
naive,7454,10071400,7454,3
smart,7454,48360,7454,3
naive,7937,11437500,7936,3
smart,7937,42720,7936,3
naive,8451,12686500,8450,3
smart,8451,56425,8450,3
naive,8998,14222200,8998,3
smart,8998,50325,8998,3
naive,9581,15574000,9581,3
smart,9581,59450,9581,3
naive,10202,17271500,10200,3
smart,10202,320900,10200,3
naive,10863,20078000,10862,3
smart,10863,69200,10862,3
naive,11567,21849900,11567,3
smart,11567,62250,11567,3
naive,12316,26011500,12316,3
smart,12316,81366,12316,3
naive,13114,29622700,13114,3
smart,13114,87400,13114,3
naive,13964,33411400,13964,3
smart,13964,76166,13964,3
naive,14868,36995600,14868,3
smart,14868,106750,14868,3
naive,15832,41076400,15831,3
smart,15832,102850,15831,3
naive,16857,47414900,16857,3
smart,16857,115700,16857,3
naive,17950,49902800,17950,3
smart,17950,118300,17950,3
naive,19113,58660000,19112,3
smart,19113,126450,19112,3
naive,20351,65544900,20350,3
smart,20351,138950,20350,3
naive,21669,74159600,21668,3
smart,21669,142950,21668,3
naive,23073,81620800,23073,3
smart,23073,158400,23073,3
naive,24568,91830000,24568,3
smart,24568,133400,24568,3
naive,26160,112265100,26158,3
smart,26160,168050,26158,3
naive,27854,133476200,27854,3
smart,27854,181450,27854,3
naive,29659,129427300,29659,3
smart,29659,229300,29659,3
naive,31581,149446600,31581,3
smart,31581,205100,31581,3
naive,33627,169145100,33627,3
smart,33627,243100,33627,3
naive,35805,193383900,35805,3
smart,35805,265400,35805,3
naive,38125,213002500,38125,3
smart,38125,295100,38125,3
naive,40595,243763300,40594,3
smart,40595,349900,40594,3
naive,43225,273473500,43225,3
smart,43225,355500,43225,3
naive,46025,312569200,46021,3
smart,46025,370700,46021,3
naive,49007,352714500,49007,3
smart,49007,279500,49007,3
naive,52182,400665700,52182,3
smart,52182,353700,52182,3
naive,55563,451440100,55563,3
smart,55563,352600,55563,3
naive,59163,509525800,59160,3
smart,59163,429200,59160,3
naive,62996,588804200,62995,3
smart,62996,388100,62995,3
naive,67077,657300100,67074,3
smart,67077,482500,67074,3
naive,71422,741691100,71419,3
smart,71422,459400,71419,3
naive,76050,864917200,76050,3
smart,76050,497700,76050,3
naive,80977,990637900,80976,3
smart,80977,680000,80976,3
naive,86223,1090033600,86223,3
smart,86223,591100,86223,3
naive,91809,1221562600,91809,3
smart,91809,580200,91809,3
naive,97757,1639817800,97757,3
smart,97757,563800,97757,3
naive,104090,1687376900,104089,3
smart,104090,748000,104089,3
naive,110834,1863458000,110834,3
smart,110834,646700,110834,3
naive,118014,2027529500,118012,3
smart,118014,643400,118012,3
naive,125660,2367524300,125655,3
smart,125660,690499,125655,3
naive,133801,2643692400,133801,3
smart,133801,894000,133801,3
naive,142470,2955566100,142470,3
smart,142470,957400,142470,3
naive,151700,3361817500,151699,3
smart,151700,1075300,151699,3
naive,161528,3840723999,161527,3
smart,161528,964599,161527,3
naive,171992,4291458501,171992,3
smart,171992,1038200,171992,3
naive,183135,4899360500,183134,3
smart,183135,1095800,183134,3
naive,195000,5548814000,195000,3
smart,195000,1492801,195000,3
naive,207633,6280545099,207633,3
smart,207633,1365799,207633,3
naive,221085,7141322900,221085,3
smart,221085,1279300,221085,3
naive,235408,8115532500,235407,3
smart,235408,1398701,235407,3
naive,250659,9163302200,250658,3
smart,250659,1592600,250658,3
naive,266898,10406025500,266896,3
smart,266898,1423300,266896,3
naive,284190,11927773900,284187,3
smart,284190,2136500,284187,3
naive,302601,13350105200,302594,3
smart,302601,2264600,302594,3
naive,322206,15136890400,322206,3
smart,322206,2043400,322206,3
naive,343080,17165464200,343080,3
smart,343080,1968300,343080,3
naive,365307,19546530400,365307,3
smart,365307,2884000,365307,3
naive,388974,22137582400,388973,3
smart,388974,2419600,388973,3
naive,414174,25058692500,414174,3
smart,414174,2507300,414174,3
naive,441006,28932301300,441005,3
smart,441006,2987800,441005,3
naive,469577,32170323300,469576,3
smart,469577,3216800,469576,3
